"*Channel Name","Product Name on Channel","Selling Price","*Channel Product id","*Channel SKU Code","Master SKU Code"
"AMAZON_IN","Nillkin Case for Nokia 6.1 Plus / X6 X 6 Super Frosted Hard Back Cover Hard PC Black Color","0.00","","Nok6.1P-58566D","Nok6.1P-58566D"
"AMAZON_IN","Nillkin Cell Phone Case for Asus Zenfone 3 (ZE552KL) - Black","0.00","","Z3-25377","Z3-25377"
"AMAZON_IN","Nillkin Screen Guard for Nokia 6.1 Plus / X6 X 6 Whole Set Version Matte Anti Glare Front + Camera Sticker","0.00","","Nok6.1P-58559D","Nok6.1P-58559D"
"AMAZON_IN","Nillkin Screen Guard for Samsung Galaxy C9 Pro Super Clear Scratch Proof Protect Simple Set Version","0.00","","C9P-53591-9","C9P-53591-9"
"AMAZON_IN","Nillkin Case for Samsung Galaxy A8 Star Super Frosted Hard Back Cover Hard PC Black Color","0.00","","A8Star-60415D","A8Star-60415D"
"AMAZON_IN","Nillkin Screen Guard for Huawei Honor Play Super Clear Scratch Proof Protect Simple Set Version","0.00","","HonPlay-46985","HonPlay-46985"
"AMAZON_IN","Anker PowerCore 10400 mAh Portable Charger Power Bank with PowerIQ Technology for iPhone, iPad, Samsung Galaxy and More (White)","0.00","","A1214H21-WHT-2","A1214H21-WHT-2"
"AMAZON_IN","Original Nillkin Qin Series Luxury Leather Wallet Flipcover for Samsung Galaxy A8 Star (6.3 inch) (Qin Black)","0.00","","A8Star-62396","A8Star-62396"
"KARTROCKET","Product 2","1.00","2","p2","p2"
"KARTROCKET","Product 1","1.00","1","p1","p1"
"KARTROCKET","Product 3","1.00","3","p3","p3"
"AMAZON_IN","Nillkin Screen Guard for ASUS Zenfone 5Z 5 Z ZS621KL Whole Set Version Matte Anti Glare Front + Camera Sticker","0.00","","5Z-57064-9","5Z-57064-9"
"AMAZON_IN","Nillkin Screen Guard for Sony Xperia XA1 Plus Super Clear Scratch Proof Protect Simple Set Version","0.00","","XA1P-09711","XA1P-09711"
"AMAZON_IN","Nomad Case for Apple iPhone 8 Plus (5.5"") Leather Rustic Brown & Clear PC","0.00","","NM21GR0200-2-2","NM21GR0200-2-2"
"MAGENTO","Darjeeling Thunder Delight Oolong Tea","1836.00","539","SN1_100g","SN1_100g"
"MAGENTO","Bombay Cutting Chai","0.00","","SN56_100g-SN56_100g","SN56_100g-SN56_100g"
"MAGENTO","Kadak Masala Mantra Chai","0.00","","SN57_100g-SN57_100g","SN57_100g-SN57_100g"
"MAGENTO","Assam Exotic Chai","0.00","","SN58_100g-SN58_100g","SN58_100g-SN58_100g"
"MAGENTO","Nilgiris Twirl Oolong Tea","907.00","540","SN2_100g","SN2_100g"
"MAGENTO","Darjeeling Summer Green Tea","422.00","542","SN3_100g","SN3_100g"
"MAGENTO","Kadak Ginger Chai ","0.00","","SN59_100g-SN59_100g","SN59_100g-SN59_100g"
"MAGENTO","Nilgiris Premium Virgin Green Tea","1116.00","543","SN4_100g","SN4_100g"
"MAGENTO","North East Exclusive Green Tea","192.00","544","SN5_100g","SN5_100g"
"MAGENTO","Tulsi Green Tea","0.00","","SN65_100g-SN65_100g","SN65_100g-SN65_100g"
"MAGENTO","Darjeeling Classic Marvel Green Tea","422.00","545","SN6_100g","SN6_100g"
"MAGENTO","Cinnamon Tea","0.00","","SN80_100g-SN80_100g","SN80_100g-SN80_100g"
"MAGENTO","Darjeeling Summer Classic Green Tea","248.00","546","SN7_100g","SN7_100g"
"MAGENTO","Darjeeling Organic Leaf Green Tea","307.00","547","SN8_100g","SN8_100g"
"MAGENTO","Darjeeling Silver Leaf White Tea","2112.00","548","SN9_100g","SN9_100g"
"MAGENTO","Mint Green Tea","0.00","","SN64_100g-SN64_100g","SN64_100g-SN64_100g"
"MAGENTO","Nilgiris Silver Tip White Tea","1296.00","549","SN10_100g","SN10_100g"
"MAGENTO","Arya Diamond Darjeeling Black Tea","422.00","550","SN12_100g","SN12_100g"
"MAGENTO","Sungma Muscatel Black Tea","499.00","552","SN13_100g","SN13_100g"
"MAGENTO","Dharamshala Black Orthodox Tea  ","316.00","553","SN14_100g","SN14_100g"
"MAGENTO","Darjeeling Arya Rose Black Tea","461.00","554","SN15_100g","SN15_100g"
"MAGENTO","Darjeeling Queen Autumn Flush Black Tea","269.00","555","SN16_100g","SN16_100g"
"MAGENTO","Darjeeling Clonal Thunder Black Tea","773.00","556","SN17_100g","SN17_100g"
"MAGENTO","Clonal Light Darjeeling Black Tea","0.00","","SN50_100g-SN50_100g","SN50_100g-SN50_100g"
"MAGENTO","Darjeeling Clonal Delight Black Tea","1306.00","557","SN18_100g","SN18_100g"
"MAGENTO","Darjeeling Okayti Full Wonder Black Tea","346.00","558","SN19_100g","SN19_100g"
"MAGENTO","Darjeeling Okayti Rosted Black Tea","288.00","559","SN20_100g","SN20_100g"
"MAGENTO"," Cardamom Tea ","0.00","","SN79_100g-SN79_100g","SN79_100g-SN79_100g"
"MAGENTO","Darjeeling Royal Roasted Black Tea","307.00","560","SN21_100g","SN21_100g"
"MAGENTO","Darjeeling Okayti Spelndour Black Tea","691.00","561","SN22_100g","SN22_100g"
"MAGENTO","Mini Detox","0.00","","SKU_MD-SKU_MD_1","SKU_MD-SKU_MD_1"
"MAGENTO","Cleanse Clues","0.00","","SKU_CC-SKU_CC_3","SKU_CC-SKU_CC_3"
"MAGENTO","Darjeeling Summer Selim Hill Black Tea","0.00","","SN26_100g-SN26_25g","SN26_100g-SN26_25g"
"MAGENTO","Darjeeling Okayti Imperial Black Tea","1382.00","562","SN23_100g","SN23_100g"
"MAGENTO","Puttabong Darjeeling Black Tea","469.00","563","SN24_100g","SN24_100g"
"MAGENTO","Rohini Clonal Darjeeling Black Tea","335.00","564","SN25_100g","SN25_100g"
"MAGENTO","Rose Green Tea","0.00","","SN60_100g-SN60_100g","SN60_100g-SN60_100g"
"MAGENTO","Glendale Op Black Tea","0.00","","SN38_100g-SN38_50g","SN38_100g-SN38_50g"
"MAGENTO","Darjeeling Summer Selim Hill Black Tea","323.00","565","SN26_100g","SN26_100g"
"MAGENTO","Oaks Spring Special Darjeeling Black Tea","768.00","566","SN27_100g","SN27_100g"
"MAGENTO","Autumn Special Darjeeling Black Tea","221.00","567","SN28_100g","SN28_100g"
"MAGENTO","Premium Big Leaf Darjeeling Black Tea","538.00","568","SN29_100g","SN29_100g"
"MAGENTO","Kadak Masala Mantra Chai","0.00","","SN57_100g-SN57_50g","SN57_100g-SN57_50g"
"MAGENTO","Summer Special Darjeeling Black Tea","504.00","569","SN30_100g","SN30_100g"
"MAGENTO","Clonal Special Darjeeling Black Tea","284.40","570","SN31_100g","SN31_100g"
"MAGENTO","Bombay Cutting Chai","0.00","","SN56_100g-SN56_500g","SN56_100g-SN56_500g"
"MAGENTO","Bombay Cutting Chai","0.00","","SN56_100g-SN56_10g","SN56_100g-SN56_10g"
"MAGENTO","Clonal Musk Darjeeling Black Tea","409.00","571","SN33_100g","SN33_100g"
"MAGENTO","Bombay Cutting Chai","0.00","","SN56_100g-SN56_50g","SN56_100g-SN56_50g"
"MAGENTO","Giddapahar Darjeeling Oolong Tea","335.00","572","SN32_100g","SN32_100g"
"MAGENTO","China Special Darjeeling Black Tea","335.00","573","SN34_100g","SN34_100g"
"MAGENTO","Clonal Wonder Darjeeling Black Tea","1004.00","574","SN35_100g","SN35_100g"
"MAGENTO","Bombay Cutting Chai","0.00","","SN56_100g-SN56_25g","SN56_100g-SN56_25g"
"MAGENTO","Darjeeling Classic Chinary Black Tea","279.00","575","SN36_100g","SN36_100g"
"MAGENTO","Summer Special Glenburn Black Tea","2381.00","576","SN37_100g","SN37_100g"
"MAGENTO","Little Luxuries ","0.00","","SKU_LL-SKU_LL_2","SKU_LL-SKU_LL_2"
"MAGENTO","Glendale Op Black Tea","279.00","577","SN38_100g","SN38_100g"
"MAGENTO","Darjeeling Special Twirl Black Tea","279.00","578","SN39_100g","SN39_100g"
"MAGENTO","Royal kesar tea","0.00","","SN77_100g-SN77_100g","SN77_100g-SN77_100g"
"MAGENTO","Gopaldhara Summer Darjeeling Black Tea","260.00","579","SN40_100g","SN40_100g"
"MAGENTO","Darjeeling Clonal Muscatel Black Tea","670.00","580","SN41_100g","SN41_100g"
"MAGENTO","Darjeeling Emperor Black Tea","818.00","581","SN42_100g","SN42_100g"
"MAGENTO","Gopaldhara Special Darjeeling Black Tea","270.00","582","SN43_100g","SN43_100g"
"MAGENTO","Darjeeling Spring Silver Tips Black Tea","238.00","583","SN44_100g","SN44_100g"
"MAGENTO","Kadak Masala Mantra Chai","0.00","","SN57_100g-SN57_10g","SN57_100g-SN57_10g"
"MAGENTO","Namring Upper Darjeeling Black Tea","212.00","584","SN45_100g","SN45_100g"
"MAGENTO","Namring Exotic Darjeeling Black Tea","367.00","585","SN46_100g","SN46_100g"
"MAGENTO","Arya Moonshine Darjeeling Black Tea","1920.00","586","SN47_100g","SN47_100g"
"MAGENTO","Arya Ruby Darjeeling Black Tea","1152.00","587","SN48_100g","SN48_100g"
"MAGENTO","Special Muscatel Darjeeling Black Tea","446.00","588","SN49_100g","SN49_100g"
"MAGENTO","Clonal Light Darjeeling Black Tea","335.00","589","SN50_100g","SN50_100g"
"MAGENTO","Summer Darjeeling Organic Black Tea","614.00","590","SN51_100g","SN51_100g"
"MAGENTO","Temi North East Special Black Tea","384.00","591","SN53_100g","SN53_100g"
"MAGENTO","Himalayan Well Rolled Oolong Tea","900.00","592","SN52_100g","SN52_100g"
"MAGENTO","Earl Grey Black Tea","298.00","593","SN54_100g","SN54_100g"
"MAGENTO","Giddapahar Darjeeling Oolong Tea","0.00","","SN32_100g-SN32_100g","SN32_100g-SN32_100g"
"MAGENTO","English Breakfast Tea","260.00","594","SN55_100g","SN55_100g"
"MAGENTO","Bombay Cutting Chai","145.00","595","SN56_100g","SN56_100g"
"MAGENTO","Kadak Masala Mantra Chai","231.00","596","SN57_100g","SN57_100g"
"MAGENTO","Assam Exotic Chai","210.00","597","SN58_100g","SN58_100g"
"MAGENTO","Kadak Ginger Chai ","189.00","598","SN59_100g","SN59_100g"
"MAGENTO","Rose Green Tea","499.00","599","SN60_100g","SN60_100g"
"MAGENTO","Jasmine Green Tea","432.00","600","SN61_100g","SN61_100g"
"MAGENTO","Chamomile Green Tea","864.00","601","SN62_100g","SN62_100g"
"MAGENTO","Lemon Ginger Green Tea","357.00","602","SN63_100g","SN63_100g"
"MAGENTO","Mint Green Tea","336.00","603","SN64_100g","SN64_100g"
"MAGENTO","Tulsi Green Tea","252.00","604","SN65_100g","SN65_100g"
"MAGENTO","Chamomile Green Tea","0.00","","SN62_100g-SN62_100g","SN62_100g-SN62_100g"
"MAGENTO","Mulethi Green Tea","324.00","605","SN66_100g","SN66_100g"
"MAGENTO","Silver Buds Darjeeling White Tea","638.00","606","SN67_100g","SN67_100g"
"MAGENTO","Assam Special Clonal Black Tea","465.00","607","SN11_100g","SN11_100g"
"MAGENTO","The Tea Explorer","229.00","608","pack_2","pack_2"
"MAGENTO","Sunrise to Sunset Teas","300.00","609","pack_1","pack_1"
"MAGENTO","Temi North East Special Black Tea","0.00","","SN53_100g-SN53_100g","SN53_100g-SN53_100g"
"MAGENTO","Sip for your Health","575.00","610","pack_3","pack_3"
"MAGENTO","Teafloor's Starter Kit","321.00","611","pack_4","pack_4"
"MAGENTO","Sip and Relax","260.00","612","pack_5","pack_5"
"MAGENTO","Kashmiri Kahwa Chai","0.00","","SN69_100g-SN69_100g","SN69_100g-SN69_100g"
"MAGENTO","Exotic Rose Green Tea","809.00","613","SN68_100g","SN68_100g"
"MAGENTO","Darjeeling Royal Roasted Black Tea","0.00","","SN21_100g-SN21_100g","SN21_100g-SN21_100g"
"MAGENTO","Gopaldhara Summer Darjeeling Black Tea","0.00","","SN40_100g-SN40_100g","SN40_100g-SN40_100g"
"MAGENTO","Kashmiri Kahwa Chai","550.00","614","SN69_100g","SN69_100g"
"MAGENTO","Thandai Chai","475.00","615","SN71_100g","SN71_100g"
"MAGENTO","Peppermint Tea","395.00","616","SN70_100g","SN70_100g"
"MAGENTO","Lavender Green Tea","900.00","617","SN72_100g","SN72_100g"
"MAGENTO","Vanilla Swirl Green Tea","1050.00","618","SN73_100g","SN73_100g"
"MAGENTO","Pomegranate Green Tea","1080.00","619","SN74_100g","SN74_100g"
"MAGENTO","Fresh Lemon Mojito Green Tea","920.00","621","SN76_100g","SN76_100g"
"MAGENTO","Chocolate Black Tea","1012.00","622","SN75_100g","SN75_100g"
"MAGENTO","Royal kesar tea","500.00","623","SN77_100g","SN77_100g"
"MAGENTO","Kadak Ginger Chai ","0.00","","SN59_100g-SN59_10g","SN59_100g-SN59_10g"
"MAGENTO","Trinity Tea Collection","799.00","624","TGB-S-700","TGB-S-700"
"MAGENTO","Essence Tea Collection","599.00","625","TGB-S-599","TGB-S-599"
"MAGENTO","Indulge Tea Collection","1299.00","626","TGB-L-1299","TGB-L-1299"
"MAGENTO","Darjeeling Gold Wire Tea","0.00","","SN84_100g-SN84_25g","SN84_100g-SN84_25g"
"MAGENTO","Platinum Tea Collection","999.00","627","TGB-L-999","TGB-L-999"
"MAGENTO","Darjeeling Okayti Full Wonder Black Tea","0.00","","SN19_100g-SN19_100g","SN19_100g-SN19_100g"
"MAGENTO","Zesty Orange Green Tea","1050.00","628","SN78_100g","SN78_100g"
"MAGENTO"," Cardamom Tea ","311.00","629","SN79_100g","SN79_100g"
"MAGENTO","Cinnamon Tea","250.00","630","SN80_100g","SN80_100g"
"MAGENTO","Tulsi Ginger Green Tea","324.00","631","SN81_100g","SN81_100g"
"MAGENTO","GOPALDHARA CHINA SPECIAL BLACK TEA","600.00","634","SN82","SN82"
"MAGENTO","Tulsi Ginger Green Tea","0.00","","SN81_100g-SN81_100g","SN81_100g-SN81_100g"
"MAGENTO","GOPALDHARA PREMIUM GREEN TEA","570.00","635","SN83","SN83"
"MAGENTO","Mini Detox","399.00","636","SKU_MD","SKU_MD"
"MAGENTO","Cleanse Clues","229.00","637","SKU_CC","SKU_CC"
"MAGENTO","Little Luxuries ","299.00","638","SKU_LL","SKU_LL"
"MAGENTO","Assam Exotic Chai","0.00","","SN58_100g-SN58_25g","SN58_100g-SN58_25g"
"MAGENTO","Darjeeling Gold Wire Tea","2184.00","640","SN84_100g","SN84_100g"
"MAGENTO","Kadak Masala Mantra Chai","0.00","","SN57_100g-SN57_25g","SN57_100g-SN57_25g"
"MAGENTO","Assam Exotic Chai","0.00","","SN58_100g-SN58_10g","SN58_100g-SN58_10g"
